id,value,cost,Link
AI/DV/ML Toolmap,,,
AI/DV/ML Toolmap.Research,,,
AI/DV/ML Toolmap.Research.Collect,,,
AI/DV/ML Toolmap.Research.Collect.Audio,,,
AI/DV/ML Toolmap.Research.Collect.Audio.Text,,,
AI/DV/ML Toolmap.Research.Collect.Audio.Text.Parrot ai,5,Freemium,https://parrot.ai/
AI/DV/ML Toolmap.Research.Collect.Text,,,
AI/DV/ML Toolmap.Research.Collect.Text.Book,,,
AI/DV/ML Toolmap.Research.Collect.Text.Book.BookAbout,8,Free,https://bookabout.io/
AI/DV/ML Toolmap.Research.Collect.Text.Book.Bookclub ai,9,Free,https://www.bookclub.ai/
AI/DV/ML Toolmap.Research.Collect.Text.Book.Next Three Books,10,Free,https://www.nextthreebooks.com/
AI/DV/ML Toolmap.Research.Collect.Text.Literature,,,
AI/DV/ML Toolmap.Research.Collect.Text.Literature.Elicit,12,Free,https://elicit.org/
AI/DV/ML Toolmap.Research.Collect.Text.Literature.Typeset,13,Free,https://typeset.io/
AI/DV/ML Toolmap.Research.Collect.Text.Table,,,
AI/DV/ML Toolmap.Research.Collect.Text.Table.Apify,16,Freemium,https://apify.com/
AI/DV/ML Toolmap.Research.Collect.Text.Table.Crowdtangle,17,Free,https://www.crowdtangle.com/
AI/DV/ML Toolmap.Research.Collect.Text.Table.Google Play Scraper,18,Free,https://pypi.org/project/google-play-scraper/
AI/DV/ML Toolmap.Research.Collect.Text.Table.TumblrTool,19,Free,https://labs.polsys.net/tools/tumblr/
AI/DV/ML Toolmap.Research.Collect.Text.Table.Youtube Data Tools,20,Free,https://github.com/bernorieder/YouTube-Data-Tools/wiki
AI/DV/ML Toolmap.Research.Collect.Text.Text,,,
AI/DV/ML Toolmap.Research.Collect.Text.Text.ChatGPT,22,Freemium,https://chat.openai.com/
AI/DV/ML Toolmap.Research.Collect.Text.Visualization,,,
AI/DV/ML Toolmap.Research.Collect.Text.Visualization.Wikipedia Cross-lingual Image Analysis,24,Free,https://tools.digitalmethods.net/beta/wikipediaCrosslingualImageAnalysis/
AI/DV/ML Toolmap.Research.Collect.Text.Visualization.Wikiview net,25,Free,https://wikiview.net/
AI/DV/ML Toolmap.Research.Collect.Video,,,
AI/DV/ML Toolmap.Research.Collect.Video.Text,,,
AI/DV/ML Toolmap.Research.Collect.Video.Text.Parrot ai,28,Freemium,https://parrot.ai/
AI/DV/ML Toolmap.Research.Collect.Website,,,
AI/DV/ML Toolmap.Research.Collect.Website.Table,,,
AI/DV/ML Toolmap.Research.Collect.Website.Table.Browse AI,31,Freemium,https://www.browse.ai/
AI/DV/ML Toolmap.Research.Translate,,,
AI/DV/ML Toolmap.Research.Translate.Text,,,
AI/DV/ML Toolmap.Research.Translate.Text.Text,,,
AI/DV/ML Toolmap.Research.Translate.Text.Text.ChatGPT,35,Freemium,https://chat.openai.com/
AI/DV/ML Toolmap.Research.Translate.Text.Text.Jasper ai,36,Premium,https://www.jasper.ai/
AI/DV/ML Toolmap.Research.Translate.Text.Text.Notion AI,37,Premium,https://www.notion.so/product/ai
AI/DV/ML Toolmap.Research.Translate.Text.Text.Open AI in Spreadsheet,38,Free,https://foundr.ai/product/openai-in-spreadsheet
AI/DV/ML Toolmap.Synthesize,,,
AI/DV/ML Toolmap.Synthesize.Classify,,,
AI/DV/ML Toolmap.Synthesize.Classify.Audio,,,
AI/DV/ML Toolmap.Synthesize.Classify.Audio.Label,,,
AI/DV/ML Toolmap.Synthesize.Classify.Audio.Label.Edge Impulse,43,Free,https://www.edgeimpulse.com/
AI/DV/ML Toolmap.Synthesize.Classify.Audio.Label.Label Studio,44,Free,https://labelstud.io/
AI/DV/ML Toolmap.Synthesize.Classify.Gesture,,,
AI/DV/ML Toolmap.Synthesize.Classify.Gesture.Instruction,,,
AI/DV/ML Toolmap.Synthesize.Classify.Gesture.Instruction.Tiny Motion Trainer,47,Free,https://experiments.withgoogle.com/tiny-motion-trainer/view/
